sha,date,subject,src_files,n_later_commits,seed_ctx_syms,seed_crude_syms,later_ctx_syms,file_hit,ctx_hit,crude_hit,ctx_hit_730,overlap_ctx
f9b8bd46511d,2026-02-09,[HW] Fix ArrayCreateOp verifier to support typealiases and add optional result type syntax,include/circt/Dialect/HW/HWAggregates.td;lib/Dialect/HW/HWOps.cpp,11,4,10,15,1,1,1,1,parse;print
ef82ef1b1e33,2026-02-03,[FIRRTL] Fix canonicalizer infinite loop with const types (#9595),include/circt/Dialect/FIRRTL/FIRRTLCanonicalization.td,2,2,3,1,1,1,0,1,Pat
db9b1154c414,2026-02-02,[circt-reduce] Fix firrtl-remove-unused-ports crash with probes,lib/Dialect/FIRRTL/Transforms/RemoveUnusedPorts.cpp,0,1,3,0,0,0,0,0,
010d18b95ff2,2026-02-02,[circt-reduce] Fix extmodule-instance-remover crash with strings,lib/Dialect/FIRRTL/FIRRTLReductions.cpp,24,1,4,11,1,1,1,1,InstanceOp
0de87ef355e6,2026-02-02,[circt-reduce] Fix instance-stubber: ref/property,lib/Dialect/FIRRTL/FIRRTLReductions.cpp,25,4,11,11,1,1,1,1,FModuleOp;InstanceOp;invalidateOutputs
b7d165dedca7,2026-02-02,[circt-reduce] Fix module-name-sanitizer crash with objects (#9584),lib/Dialect/FIRRTL/FIRRTLReductions.cpp,26,1,10,11,1,1,1,1,CircuitOp
d3c93988fd68,2026-02-02,[circt-reduce] Fix connect-forwarder crash with layerblocks (#9581),lib/Dialect/FIRRTL/FIRRTLReductions.cpp,29,1,4,12,1,1,1,1,Reduction
e36f5695723e,2026-01-30,[FIRRTL] Fix canonicalizer crash on non-IntType inputs to cast patterns (#9550),include/circt/Dialect/FIRRTL/FIRRTLCanonicalization.td,3,1,1,2,1,1,0,1,Pat
db50d3131cec,2026-01-30,[LLHD] Fix mem2reg to capture all live values across wait ops (#9552),lib/Dialect/LLHD/Transforms/Mem2Reg.cpp,11,3,19,32,1,1,1,1,Promoter;captureAcrossWait;promote
89778e1bebd3,2026-01-30,[ImportVerilog] Fix silent failure on unsupported system calls (#9556),lib/Conversion/ImportVerilog/Expressions.cpp,59,1,0,19,1,1,0,1,ExprVisitor
2fdae8fcfef5,2026-01-30,[ArcRuntime][VCDTrace] Fix final time step on empty trace buffer (#9554),include/circt/Dialect/Arc/Runtime/TraceEncoder.h;lib/Dialect/Arc/Runtime/VCDTraceEncoder.cpp,3,2,7,5,1,1,1,1,finalize;windDownWorker
3086bac387d1,2026-01-29,[ImportVerilog] Swap assertion calls to to_builtin_int (#9543),lib/Conversion/ImportVerilog/AssertionExpr.cpp,21,1,4,7,1,1,1,1,convertAssertionCallExpression
b476431e74ec,2026-01-29,[Synth][LongestPathAnalysis] Fix an incorrect instanch path (#9536),include/circt/Dialect/Synth/Analysis/LongestPathAnalysis.h;lib/Dialect/Synth/Analysis/LongestPathAnalysis.cpp,4,2,7,6,1,1,1,1,initializeAndRun
4c4a16553aa3,2026-01-26,[ImportVerilog] Fix class method prototype resolution (#9508),lib/Conversion/ImportVerilog/Structure.cpp,50,1,6,26,1,1,1,1,ClassDeclVisitor
