sha,date,test_file,lang,entry_tool,reducibility,lead_not,pipe,pct_t,pct_S,pct_brace,split_file,split_input_file,verify_diagnostics,shell_and,redirect,run_line
38227a822425,2026-05-27,test/Dialect/Synth/tech-mapper.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,"circt-opt --pass-pipeline='builtin.module(synth-tech-mapper{strategy=area test=true max-cuts-per-root=8})' %s | FileCheck %s --check-prefixes CHECK,AREA"
38227a822425,2026-05-27,test/Dialect/Synth/tech-mapper.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,"circt-opt --pass-pipeline='builtin.module(synth-tech-mapper{strategy=timing test=true max-cuts-per-root=8})' %s | FileCheck %s --check-prefixes CHECK,TIMING"
4ed926c3c177,2026-05-23,test/Dialect/OM/canonicalizers.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt --cse --canonicalize %s | FileCheck %s
4ed926c3c177,2026-05-23,test/Dialect/OM/elaborate-object.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt -om-elaborate-object='target-class=Top' %s | FileCheck %s --check-prefix=TOP
4ed926c3c177,2026-05-23,test/Dialect/OM/elaborate-object.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt -om-elaborate-object='target-class=UseExtern' %s | FileCheck %s --check-prefix=STRICT-EXTERN
4ed926c3c177,2026-05-23,test/Dialect/OM/elaborate-object.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,"circt-opt -om-elaborate-object='all-public-classes=true allow-unevaluated=true' %s | FileCheck %s --check-prefixes=CHECK,PUBLIC"
20309db8b207,2026-05-22,test/Dialect/FIRRTL/canonicalization.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt -canonicalize='top-down=true region-simplify=aggressive' %s | FileCheck %s
793d63912b43,2026-05-20,test/Conversion/ImportVerilog/basic.sv,.sv,circt-translate,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-translate --import-verilog %s | FileCheck %s
793d63912b43,2026-05-20,test/Conversion/ImportVerilog/basic.sv,.sv,circt-verilog,lift-circt-verilog,0,0,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s
be870d5d5d54,2026-05-15,test/Conversion/ImportVerilog/basic.sv,.sv,circt-translate,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-translate --import-verilog %s | FileCheck %s
be870d5d5d54,2026-05-15,test/Conversion/ImportVerilog/basic.sv,.sv,circt-verilog,lift-circt-verilog,0,0,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s
3daad646aa92,2026-05-13,test/Conversion/ImportVerilog/array.sv,.sv,circt-verilog,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s | FileCheck %s
3daad646aa92,2026-05-13,test/Conversion/ImportVerilog/basic.sv,.sv,circt-translate,lift-circt-verilog,0,1,0,0,0,0,0,0,0,0,circt-translate --import-verilog %s | FileCheck %s
3daad646aa92,2026-05-13,test/Conversion/ImportVerilog/basic.sv,.sv,circt-verilog,lift-circt-verilog,0,0,0,0,0,0,0,0,0,0,circt-verilog --ir-moore %s
2cdbf0d17111,2026-04-30,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,other,direct,0,0,1,1,0,0,0,0,0,1,%python %S/mem2reg-scaling.py   10 > %t.1.mlir
2cdbf0d17111,2026-04-30,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,other,direct,0,0,1,1,0,0,0,0,0,1,%python %S/mem2reg-scaling.py  100 > %t.2.mlir
2cdbf0d17111,2026-04-30,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,other,direct,0,0,1,1,0,0,0,0,0,1,%python %S/mem2reg-scaling.py  200 > %t.3.mlir
2cdbf0d17111,2026-04-30,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,other,direct,0,0,1,1,0,0,0,0,0,1,%python %S/mem2reg-scaling.py 1000 > %t.4.mlir
2cdbf0d17111,2026-04-30,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,circt-opt,direct,0,0,1,0,0,0,0,0,0,0,circt-opt --llhd-mem2reg %t.1.mlir -o /dev/null
2cdbf0d17111,2026-04-30,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,circt-opt,direct,0,0,1,0,0,0,0,0,0,0,circt-opt --llhd-mem2reg %t.2.mlir -o /dev/null
2cdbf0d17111,2026-04-30,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,circt-opt,direct,0,0,1,0,0,0,0,0,0,0,circt-opt --llhd-mem2reg %t.3.mlir -o /dev/null
2cdbf0d17111,2026-04-30,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,circt-opt,direct,0,0,1,0,0,0,0,0,0,0,circt-opt --llhd-mem2reg %t.4.mlir -o /dev/null
2cdbf0d17111,2026-04-30,test/Dialect/LLHD/Transforms/mem2reg.mlir,.mlir,circt-opt,direct,0,1,0,0,0,0,0,0,0,0,circt-opt --llhd-mem2reg %s | FileCheck %s
bcc1685cdd20,2026-04-21,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,other,direct,0,0,1,1,0,0,0,0,0,1,%python %S/mem2reg-scaling.py   10 > %t.1.mlir
bcc1685cdd20,2026-04-21,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,other,direct,0,0,1,1,0,0,0,0,0,1,%python %S/mem2reg-scaling.py  100 > %t.2.mlir
bcc1685cdd20,2026-04-21,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,other,direct,0,0,1,1,0,0,0,0,0,1,%python %S/mem2reg-scaling.py  200 > %t.3.mlir
bcc1685cdd20,2026-04-21,test/Dialect/LLHD/Transforms/mem2reg-scaling.mlir,.mlir,other,direct,0,0,1,1,0,0,0,0,0,1,%python %S/mem2reg-scaling.py 1000 > %t.4.mlir
